Week,Electric Vehicle: (Worldwide)
2017-11-26,84
2017-12-03,90
2017-12-10,93
2017-12-17,79
2017-12-24,68
2017-12-31,80
2018-01-07,88
2018-01-14,86
2018-01-21,91
2018-01-28,96
2018-02-04,90
2018-02-11,89
2018-02-18,24
2018-02-25,24
2018-03-04,23
2018-03-11,25
2018-03-18,23
2018-03-25,21
2018-04-01,25
2018-04-08,24
2018-04-15,23
2018-04-22,23
2018-04-29,23
2018-05-06,21
2018-05-13,24
2018-05-20,23
2018-05-27,21
2018-06-03,24
2018-06-10,22
2018-06-17,21
2018-06-24,23
2018-07-01,21
2018-07-08,24
2018-07-15,22
2018-07-22,22
2018-07-29,23
2018-08-05,21
2018-08-12,22
2018-08-19,22
2018-08-26,24
2018-09-02,23
2018-09-09,27
2018-09-16,27
2018-09-23,25
2018-09-30,25
2018-10-07,25
2018-10-14,26
2018-10-21,25
2018-10-28,22
2018-11-04,24
2018-11-11,25
2018-11-18,25
2018-11-25,28
2018-12-02,25
2018-12-09,24
2018-12-16,24
2018-12-23,20
2018-12-30,20
2019-01-06,25
2019-01-13,27
2019-01-20,24
2019-01-27,25
2019-02-03,25
2019-02-10,26
2019-02-17,29
2019-02-24,29
2019-03-03,29
2019-03-10,28
2019-03-17,28
2019-03-24,26
2019-03-31,28
2019-04-07,29
2019-04-14,30
2019-04-21,29
2019-04-28,31
2019-05-05,30
2019-05-12,30
2019-05-19,28
2019-05-26,26
2019-06-02,28
2019-06-09,29
2019-06-16,30
2019-06-23,29
2019-06-30,33
2019-07-07,32
2019-07-14,30
2019-07-21,33
2019-07-28,32
2019-08-04,30
2019-08-11,30
2019-08-18,32
2019-08-25,32
2019-09-01,33
2019-09-08,31
2019-09-15,36
2019-09-22,35
2019-09-29,29
2019-10-06,32
2019-10-13,30
2019-10-20,31
2019-10-27,43
2019-11-03,30
2019-11-10,32
2019-11-17,38
2019-11-24,31
2019-12-01,30
2019-12-08,31
2019-12-15,30
2019-12-22,31
2019-12-29,31
2020-01-05,33
2020-01-12,31
2020-01-19,34
2020-01-26,34
2020-02-02,42
2020-02-09,38
2020-02-16,37
2020-02-23,35
2020-03-01,33
2020-03-08,29
2020-03-15,22
2020-03-22,20
2020-03-29,20
2020-04-05,17
2020-04-12,21
2020-04-19,21
2020-04-26,22
2020-05-03,21
2020-05-10,24
2020-05-17,24
2020-05-24,25
2020-05-31,26
2020-06-07,25
2020-06-14,26
2020-06-21,28
2020-06-28,28
2020-07-05,32
2020-07-12,30
2020-07-19,30
2020-07-26,32
2020-08-02,33
2020-08-09,30
2020-08-16,29
2020-08-23,32
2020-08-30,29
2020-09-06,36
2020-09-13,32
2020-09-20,36
2020-09-27,32
2020-10-04,32
2020-10-11,34
2020-10-18,32
2020-10-25,30
2020-11-01,29
2020-11-08,33
2020-11-15,35
2020-11-22,41
2020-11-29,34
2020-12-06,32
2020-12-13,33
2020-12-20,30
2020-12-27,33
2021-01-03,38
2021-01-10,40
2021-01-17,40
2021-01-24,47
2021-01-31,54
2021-02-07,48
2021-02-14,48
2021-02-21,50
2021-02-28,49
2021-03-07,47
2021-03-14,46
2021-03-21,45
2021-03-28,44
2021-04-04,43
2021-04-11,45
2021-04-18,47
2021-04-25,40
2021-05-02,42
2021-05-09,44
2021-05-16,49
2021-05-23,48
2021-05-30,46
2021-06-06,43
2021-06-13,50
2021-06-20,48
2021-06-27,50
2021-07-04,49
2021-07-11,57
2021-07-18,52
2021-07-25,51
2021-08-01,49
2021-08-08,54
2021-08-15,51
2021-08-22,47
2021-08-29,47
2021-09-05,46
2021-09-12,52
2021-09-19,49
2021-09-26,55
2021-10-03,51
2021-10-10,54
2021-10-17,53
2021-10-24,58
2021-10-31,58
2021-11-07,72
2021-11-14,65
2021-11-21,54
2021-11-28,51
2021-12-05,55
2021-12-12,56
2021-12-19,47
2021-12-26,49
2022-01-02,61
2022-01-09,57
2022-01-16,59
2022-01-23,59
2022-01-30,63
2022-02-06,62
2022-02-13,69
2022-02-20,69
2022-02-27,73
2022-03-06,100
2022-03-13,81
2022-03-20,81
2022-03-27,83
2022-04-03,81
2022-04-10,71
2022-04-17,75
2022-04-24,69
2022-05-01,67
2022-05-08,66
2022-05-15,62
2022-05-22,63
2022-05-29,62
2022-06-05,71
2022-06-12,67
2022-06-19,69
2022-06-26,64
2022-07-03,65
2022-07-10,58
2022-07-17,66
2022-07-24,66
2022-07-31,66
2022-08-07,72
2022-08-14,70
2022-08-21,67
2022-08-28,64
2022-09-04,65
2022-09-11,68
2022-09-18,61
2022-09-25,63
2022-10-02,62
2022-10-09,64
2022-10-16,60
2022-10-23,58
2022-10-30,56
2022-11-06,55
2022-11-13,59
2022-11-20,53
2022-11-27,56
2022-12-04,60
2022-12-11,56
2022-12-18,56
2022-12-25,53
2023-01-01,58
2023-01-08,62
2023-01-15,65
2023-01-22,62
2023-01-29,65
2023-02-05,63
